Montgomery Curve - Initialization Time (s);Montgomery Curve - Signature Time (s);Montgomery Curve - Verification Time (s);Edwards Curve - Initialization Time (s);Edwards Curve - Signature Time (s);Edwards Curve - Verification Time (s);Twisted Edwards Curve - Initialization Time (s);Twisted Edwards Curve - Signature Time (s);Twisted Edwards Curve - Verification Time (s)
0.35485;0.3689;0.82414;0.27657;0.29099;0.26887;0.2731;0.28746;0.24532
0.39954;0.3799;0.79054;0.27257;0.28136;0.25012;0.27544;0.28661;0.24279
0.36674;0.34621;0.8188;0.27946;0.2759;0.24824;0.28182;0.28061;0.23817
0.36901;0.33666;0.83197;0.28062;0.2844;0.24712;0.26953;0.28316;0.2375
0.36184;0.34912;0.7755;0.27635;0.28057;0.24778;0.28248;0.27644;0.251
0.52297;0.46748;1.78625;0.38324;0.32916;0.29375;0.31143;0.30248;0.2578
0.39278;0.38977;0.93474;0.29687;0.32771;0.27004;0.29975;0.32251;0.26893
0.38315;1.12504;1.38381;0.35602;0.35313;0.71216;0.66378;0.36283;0.28177
0.44534;0.39605;0.84628;0.27402;0.31928;0.27076;0.29334;0.29214;0.26069
0.38265;0.40677;0.83157;0.28175;0.29854;0.26203;0.32401;0.28605;0.24269
0.34686;0.33932;0.77308;0.2684;0.2699;0.25366;0.28292;0.28534;0.23944
0.3568;0.35928;0.79115;0.30212;0.29183;0.26785;0.29048;0.27623;0.23883
0.35559;0.34823;0.80897;0.27382;0.27383;0.24991;0.28036;0.27136;0.24075
0.35664;0.39037;0.80475;0.28473;0.29095;0.24319;0.28267;0.28039;0.2535
0.36673;0.35053;0.79756;0.27669;0.28639;0.24188;0.28444;0.27967;0.24086
0.35699;0.35058;0.77951;0.27602;0.2694;0.24501;0.27675;0.28091;0.24849
0.36743;0.35403;0.79272;0.27403;0.27532;0.24317;0.27312;0.27341;0.2384
0.35898;0.34868;0.78486;0.27011;0.27905;0.25018;0.27733;0.27187;0.23879
0.34234;0.35826;0.789;0.27734;0.27601;0.25092;0.28273;0.27671;0.24023
0.36477;0.33874;0.78128;0.28304;0.27462;0.24673;0.27857;0.27542;0.23904
0.35719;0.35973;0.80492;0.28622;0.27463;0.25055;0.27517;0.27073;0.24223
0.36429;0.33277;0.76703;0.27126;0.27885;0.23794;0.28788;0.27735;0.24068
0.3582;0.34563;0.92199;0.28904;0.28173;0.2463;0.28458;0.30917;0.2493
0.35987;0.35092;0.7763;0.27738;0.28301;0.24804;0.27877;0.27522;0.24251
0.36695;0.34538;0.79639;0.27584;0.27432;0.26206;0.28837;0.28889;0.29258
0.38314;0.39979;0.78478;0.27255;0.27485;0.24819;0.28214;0.274;0.24472
0.36664;0.3998;0.83375;0.27404;0.28473;0.26953;0.27934;0.30955;0.27186
0.37202;0.35636;0.83499;0.27062;0.29726;0.2479;0.2746;0.3207;0.24609
0.40882;0.35317;0.8809;0.30104;0.27435;0.25412;0.30377;0.33143;0.23675
0.35496;0.36609;0.78477;0.28123;0.28333;0.24418;0.28617;0.29236;0.25196
0.43746;0.38423;0.85903;0.28929;0.30997;0.26636;0.28641;0.2956;0.26457
0.3791;0.35324;0.79039;0.2809;0.27855;0.24154;0.27488;0.28904;0.23625
0.33538;0.36491;0.75987;0.27215;0.28549;0.23821;0.28991;0.29716;0.24144
0.39145;0.33804;0.85564;0.28112;0.30871;0.24886;0.30031;0.29038;0.24904
0.36709;0.35069;0.87319;0.30851;0.31419;0.27717;0.29255;0.2856;0.23726
0.3536;0.34335;0.77795;0.28361;0.27319;0.24864;0.27837;0.2809;0.24192
0.3459;0.38135;0.81481;0.27547;0.28652;0.24916;0.28625;0.28475;0.23825
0.35203;0.3515;0.79004;0.28374;0.27991;0.25615;0.27853;0.26596;0.23811
0.34672;0.34496;0.7893;0.2779;0.2759;0.24896;0.27285;0.26806;0.23889
0.35532;0.35208;0.79804;0.27976;0.28077;0.24461;0.27918;0.28356;0.24071
0.3502;0.35841;0.75924;0.28926;0.28083;0.24763;0.26811;0.28414;0.23661
0.35842;0.33876;0.78455;0.27294;0.27576;0.25002;0.26498;0.27998;0.24251
0.34385;0.34813;0.79386;0.28578;0.27147;0.24235;0.28219;0.2739;0.23854
0.36409;0.33919;0.76782;0.27021;0.27364;0.23784;0.29453;0.28003;0.24139
0.36858;0.3434;0.79238;0.28048;0.27103;0.23836;0.29247;0.28762;0.23765
0.34758;0.34633;0.78179;0.27225;0.28038;0.23794;0.28013;0.29052;0.23895
0.34046;0.35238;0.76744;0.27665;0.28064;0.23861;0.28485;0.26756;0.23899
0.34401;0.36228;0.76131;0.27538;0.27635;0.23782;0.28656;0.2649;0.23746
0.35224;0.34903;0.75519;0.27217;0.26885;0.23707;0.28398;0.28098;0.23844
0.3523;0.35529;0.78952;0.28269;0.27658;0.23988;0.27495;0.35375;0.29553
0.44701;1.05534;1.04898;0.32296;0.3127;0.26342;0.29953;0.33232;0.26926
0.38577;0.39595;0.86396;0.34149;0.32167;0.26774;0.31893;0.29223;0.26247
0.72846;0.89443;1.07777;0.29106;0.55094;0.51929;0.48666;0.35531;0.24295
0.32773;0.36974;0.8865;0.29808;0.30635;0.29678;0.29671;0.30346;0.25621
0.3662;0.3369;0.81467;0.29223;0.28921;0.29693;0.3121;0.30537;0.25275
0.37008;0.35716;0.79943;0.26776;0.31969;0.25559;0.30577;0.30142;0.24279
0.34478;0.3515;0.80434;0.29155;0.28325;0.26075;0.30935;0.31477;0.3326
0.35215;0.34228;0.79538;0.27879;0.29286;0.24179;0.27292;0.26964;0.25159
0.36396;0.35191;0.77405;0.26834;0.28499;0.24231;0.27683;0.28379;0.25376
0.3468;0.3601;0.91652;0.26881;0.30658;0.24875;0.28186;0.2711;0.2548
0.35845;0.36339;0.84063;0.27465;0.2969;0.24082;0.28219;0.29552;0.23739
0.35073;0.34967;0.78955;0.27094;0.29105;0.24164;0.27061;0.30484;0.2404
0.35262;0.3624;0.80601;0.26347;0.29766;0.24025;0.28081;0.29593;0.23849
0.34392;0.36129;0.80107;0.27498;0.29568;0.24051;0.27824;0.28449;0.23976
